Industry21,MajorOcc,Dis1,Educ,_TYPE_,_FREQ_,n_Est,Sample
Health Care,,,Less than High School,9,6471,696234,6471
Health Care,,,High School,9,27570,2923305,27570
Health Care,,,Some College,9,63452,6572935,63452
Health Care,,,Bachelors Degree or more,9,63780,6348846,63780
Social Assistance Services,,,Less than High School,9,2775,289055,2775
Social Assistance Services,,,High School,9,7619,760080,7619
Social Assistance Services,,,Some College,9,11156,1158927,11156
Social Assistance Services,,,Bachelors Degree or more,9,11482,1160061,11482
"Arts, Entertainment, Recreation",,,Less than High School,9,2022,224961,2022
"Arts, Entertainment, Recreation",,,High School,9,6636,708591,6636
"Arts, Entertainment, Recreation",,,Some College,9,10456,1100698,10456
"Arts, Entertainment, Recreation",,,Bachelors Degree or more,9,9732,979507,9732
Accommodation and Food Services,,,Less than High School,9,14151,1857276,14151
Accommodation and Food Services,,,High School,9,27299,3352331,27299
Accommodation and Food Services,,,Some College,9,32450,3880202,32450
Accommodation and Food Services,,,Bachelors Degree or more,9,10846,1224210,10846
Other Services (except Public Administration)       ,,,Less than High School,9,8057,931605,8057
Other Services (except Public Administration)       ,,,High School,9,20890,2270412,20890
Other Services (except Public Administration)       ,,,Some College,9,22306,2337288,22306
Other Services (except Public Administration)       ,,,Bachelors Degree or more,9,16889,1588666,16889
Public Administration,,,Less than High School,9,1463,140462,1463
Public Administration,,,High School,9,12143,1162347,12143
Public Administration,,,Some College,9,26632,2652709,26632
Public Administration,,,Bachelors Degree or more,9,30152,2888670,30152
Active Duty Military,,,Less than High School,9,73,7262,73
Active Duty Military,,,High School,9,2960,267355,2960
Active Duty Military,,,Some College,9,4829,460457,4829
Active Duty Military,,,Bachelors Degree or more,9,2695,250567,2695
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,,10,28739,2633715,28739
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,,10,2378,195126,2378
Utilities,,0,,10,12385,1176615,12385
Utilities,,1,,10,745,65499,745
Construction         ,,0,,10,75700,8398766,75700
Construction         ,,1,,10,4976,491674,4976
Manufacturing,,0,,10,141684,14382164,141684
Manufacturing,,1,,10,9393,857313,9393
Wholesale Trade,,0,,10,36026,3722122,36026
Wholesale Trade,,1,,10,2107,192807,2107
Retail Trade,,0,,10,141437,15499077,141437
Retail Trade,,1,,10,10660,1049201,10660
"Transportation, Warehousing & Storage",,0,,10,51397,5454818,51397
"Transportation, Warehousing & Storage",,1,,10,3781,360644,3781
Information,,0,,10,28088,2904819,28088
Information,,1,,10,1516,147459,1516
"Finance, Insurance",,0,,10,63838,6571735,63838
"Finance, Insurance",,1,,10,2819,265358,2819
"Real Estate, Rental & Leasing",,0,,10,23564,2504962,23564
"Real Estate, Rental & Leasing",,1,,10,1769,177712,1769
"Professional, Scientific, Management",,0,,10,93154,9367559,93154
"Professional, Scientific, Management",,1,,10,4326,399852,4326
Administrative & Waste Management Services,,0,,10,49747,5760394,49747
Administrative & Waste Management Services,,1,,10,4279,439024,4279
Educational Services,,0,,10,136726,12771052,136726
Educational Services,,1,,10,7183,642501,7183
Health Care,,0,,10,151787,15614524,151787
Health Care,,1,,10,9486,926796,9486
Social Assistance Services,,0,,10,29346,3043984,29346
Social Assistance Services,,1,,10,3686,324139,3686
"Arts, Entertainment, Recreation",,0,,10,27076,2839959,27076
"Arts, Entertainment, Recreation",,1,,10,1770,173798,1770
Accommodation and Food Services,,0,,10,79570,9747431,79570
Accommodation and Food Services,,1,,10,5176,566588,5176
Other Services (except Public Administration)       ,,0,,10,63109,6649516,63109
Other Services (except Public Administration)       ,,1,,10,5033,478455,5033
Public Administration,,0,,10,65671,6426764,65671
Public Administration,,1,,10,4719,417424,4719
Active Duty Military,,0,,10,10121,944678,10121
Active Duty Military,,1,,10,436,40963,436
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Less than High School,11,5885,644711,5885
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,High School,11,9959,878127,9959
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Some College,11,7621,649048,7621
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,0,Bachelors Degree or more,11,5274,461829,5274
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Less than High School,11,577,54964,577
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,High School,11,908,69816,908
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Some College,11,612,48440,612
"Agriculture, Forestry, Fishing, Hunting, Mining/Extraction",,1,Bachelors Degree or more,11,281,21906,281
Utilities,,0,Less than High School,11,408,41956,408
Utilities,,0,High School,11,3526,332607,3526
Utilities,,0,Some College,11,4788,449216,4788
Utilities,,0,Bachelors Degree or more,11,3663,352836,3663
Utilities,,1,Less than High School,11,38,2728,38
Utilities,,1,High School,11,272,23607,272
Utilities,,1,Some College,11,303,26637,303
Utilities,,1,Bachelors Degree or more,11,132,12527,132
Construction         ,,0,Less than High School,11,13189,1696332,13189
Construction         ,,0,High School,11,29485,3259540,29485
Construction         ,,0,Some College,11,22992,2427577,22992
Construction         ,,0,Bachelors Degree or more,11,10034,1015317,10034
Construction         ,,1,Less than High School,11,993,107965,993
Construction         ,,1,High School,11,1983,188605,1983
Construction         ,,1,Some College,11,1556,153825,1556
Construction         ,,1,Bachelors Degree or more,11,444,41279,444
Manufacturing,,0,Less than High School,11,14205,1623071,14205
Manufacturing,,0,High School,11,46140,4638321,46140
Manufacturing,,0,Some College,11,42357,4245521,42357
Manufacturing,,0,Bachelors Degree or more,11,38982,3875251,38982
Manufacturing,,1,Less than High School,11,1540,143848,1540
Manufacturing,,1,High School,11,3601,325414,3601
Manufacturing,,1,Some College,11,2916,265748,2916
Manufacturing,,1,Bachelors Degree or more,11,1336,122303,1336
Wholesale Trade,,0,Less than High School,11,3183,354534,3183
Wholesale Trade,,0,High School,11,10139,1059640,10139
Wholesale Trade,,0,Some College,11,11710,1196109,11710
Wholesale Trade,,0,Bachelors Degree or more,11,10994,1111839,10994
Wholesale Trade,,1,Less than High School,11,280,26673,280
Wholesale Trade,,1,High School,11,700,65239,700
Wholesale Trade,,1,Some College,11,740,66678,740
Wholesale Trade,,1,Bachelors Degree or more,11,387,34217,387
Retail Trade,,0,Less than High School,11,11814,1350978,11814
Retail Trade,,0,High School,11,46041,5019571,46041
Retail Trade,,0,Some College,11,54826,6094385,54826
Retail Trade,,0,Bachelors Degree or more,11,28756,3034143,28756
Retail Trade,,1,Less than High School,11,1403,142415,1403
Retail Trade,,1,High School,11,4033,390407,4033
Retail Trade,,1,Some College,11,3859,387443,3859
Retail Trade,,1,Bachelors Degree or more,11,1365,128936,1365
"Transportation, Warehousing & Storage",,0,Less than High School,11,4843,537054,4843
"Transportation, Warehousing & Storage",,0,High School,11,19090,2035641,19090
"Transportation, Warehousing & Storage",,0,Some College,11,18707,1977942,18707
"Transportation, Warehousing & Storage",,0,Bachelors Degree or more,11,8757,904181,8757
"Transportation, Warehousing & Storage",,1,Less than High School,11,505,49826,505
"Transportation, Warehousing & Storage",,1,High School,11,1471,135705,1471
"Transportation, Warehousing & Storage",,1,Some College,11,1419,137700,1419
"Transportation, Warehousing & Storage",,1,Bachelors Degree or more,11,386,37413,386
Information,,0,Less than High School,11,589,62290,589
Information,,0,High School,11,4324,456327,4324
Information,,0,Some College,11,9276,980766,9276
Information,,0,Bachelors Degree or more,11,13899,1405436,13899
Information,,1,Less than High School,11,77,7154,77
Information,,1,High School,11,372,35805,372
Information,,1,Some College,11,592,58765,592
Information,,1,Bachelors Degree or more,11,475,45735,475
"Finance, Insurance",,0,Less than High School,11,714,73381,714
"Finance, Insurance",,0,High School,11,9861,1002743,9861
"Finance, Insurance",,0,Some College,11,20586,2153475,20586
"Finance, Insurance",,0,Bachelors Degree or more,11,32677,3342136,32677
"Finance, Insurance",,1,Less than High School,11,70,6124,70
"Finance, Insurance",,1,High School,11,623,56467,623
"Finance, Insurance",,1,Some College,11,1105,106641,1105
"Finance, Insurance",,1,Bachelors Degree or more,11,1021,96126,1021
"Real Estate, Rental & Leasing",,0,Less than High School,11,1367,165658,1367
"Real Estate, Rental & Leasing",,0,High School,11,5115,567424,5115
"Real Estate, Rental & Leasing",,0,Some College,11,8322,888919,8322
"Real Estate, Rental & Leasing",,0,Bachelors Degree or more,11,8760,882961,8760
"Real Estate, Rental & Leasing",,1,Less than High School,11,211,25041,211
"Real Estate, Rental & Leasing",,1,High School,11,448,45414,448
"Real Estate, Rental & Leasing",,1,Some College,11,652,63236,652
"Real Estate, Rental & Leasing",,1,Bachelors Degree or more,11,458,44021,458
"Professional, Scientific, Management",,0,Less than High School,11,1093,118970,1093
"Professional, Scientific, Management",,0,High School,11,7654,801738,7654
"Professional, Scientific, Management",,0,Some College,11,21395,2191075,21395
"Professional, Scientific, Management",,0,Bachelors Degree or more,11,63012,6255776,63012
"Professional, Scientific, Management",,1,Less than High School,11,117,11727,117
"Professional, Scientific, Management",,1,High School,11,573,53517,573
"Professional, Scientific, Management",,1,Some College,11,1420,134376,1420
"Professional, Scientific, Management",,1,Bachelors Degree or more,11,2216,200232,2216
Administrative & Waste Management Services,,0,Less than High School,11,7912,1043534,7912
Administrative & Waste Management Services,,0,High School,11,15058,1792438,15058
Administrative & Waste Management Services,,0,Some College,11,16409,1852934,16409
Administrative & Waste Management Services,,0,Bachelors Degree or more,11,10368,1071488,10368
Administrative & Waste Management Services,,1,Less than High School,11,890,95957,890
Administrative & Waste Management Services,,1,High School,11,1434,148814,1434
Administrative & Waste Management Services,,1,Some College,11,1384,138931,1384
Administrative & Waste Management Services,,1,Bachelors Degree or more,11,571,55322,571
Educational Services,,0,Less than High School,11,2654,278537,2654
Educational Services,,0,High School,11,14837,1383962,14837
Educational Services,,0,Some College,11,28927,2672081,28927
Educational Services,,0,Bachelors Degree or more,11,90308,8436472,90308
Educational Services,,1,Less than High School,11,367,34633,367
Educational Services,,1,High School,11,1269,110703,1269
Educational Services,,1,Some College,11,1853,171284,1853
Educational Services,,1,Bachelors Degree or more,11,3694,325881,3694
Health Care,,0,Less than High School,11,5553,608235,5553
Health Care,,0,High School,11,25281,2701256,25281
Health Care,,0,Some College,11,59596,6189607,59596
Health Care,,0,Bachelors Degree or more,11,61357,6115426,61357
Health Care,,1,Less than High School,11,918,87999,918
Health Care,,1,High School,11,2289,222049,2289
Health Care,,1,Some College,11,3856,383328,3856
Health Care,,1,Bachelors Degree or more,11,2423,233420,2423
Social Assistance Services,,0,Less than High School,11,2010,225629,2010
Social Assistance Services,,0,High School,11,6275,647361,6275
Social Assistance Services,,0,Some College,11,10179,1068236,10179
Social Assistance Services,,0,Bachelors Degree or more,11,10882,1102758,10882
Social Assistance Services,,1,Less than High School,11,765,63426,765
Social Assistance Services,,1,High School,11,1344,112719,1344
Social Assistance Services,,1,Some College,11,977,90691,977
Social Assistance Services,,1,Bachelors Degree or more,11,600,57303,600
"Arts, Entertainment, Recreation",,0,Less than High School,11,1811,204721,1811
"Arts, Entertainment, Recreation",,0,High School,11,6123,656109,6123
"Arts, Entertainment, Recreation",,0,Some College,11,9817,1037523,9817
"Arts, Entertainment, Recreation",,0,Bachelors Degree or more,11,9325,941606,9325
"Arts, Entertainment, Recreation",,1,Less than High School,11,211,20240,211
"Arts, Entertainment, Recreation",,1,High School,11,513,52482,513
"Arts, Entertainment, Recreation",,1,Some College,11,639,63175,639
"Arts, Entertainment, Recreation",,1,Bachelors Degree or more,11,407,37901,407
Accommodation and Food Services,,0,Less than High School,11,13063,1732218,13063
Accommodation and Food Services,,0,High School,11,25304,3133700,25304
Accommodation and Food Services,,0,Some College,11,30720,3694877,30720
Accommodation and Food Services,,0,Bachelors Degree or more,11,10483,1186636,10483
