MajorOcc,Dis1,Men,raceX,Educ,_TYPE_,_FREQ_,n_Est,Sample
"Installation, Maintenance, & Repair Occupations",,,,High School,17,18086,1853335,18086
"Installation, Maintenance, & Repair Occupations",,,,Some College,17,19346,1975233,19346
"Installation, Maintenance, & Repair Occupations",,,,Bachelors Degree or more,17,3412,357715,3412
Production Occupations,,,,Less than High School,17,14015,1589737,14015
Production Occupations,,,,High School,17,36635,3728580,36635
Production Occupations,,,,Some College,17,25944,2688927,25944
Production Occupations,,,,Bachelors Degree or more,17,6828,695431,6828
Transportation & Material Moving Occupations,,,,Less than High School,17,13812,1560897,13812
Transportation & Material Moving Occupations,,,,High School,17,37677,3976851,37677
Transportation & Material Moving Occupations,,,,Some College,17,24728,2624342,24728
Transportation & Material Moving Occupations,,,,Bachelors Degree or more,17,6917,729606,6917
Military Specific Occupations,,,,Less than High School,17,50,5338,50
Military Specific Occupations,,,,High School,17,1635,152125,1635
Military Specific Occupations,,,,Some College,17,2559,247102,2559
Military Specific Occupations,,,,Bachelors Degree or more,17,1365,130709,1365
Management Occupations,,,White only,,18,124866,11879612,124866
Management Occupations,,,Black/African American only,,18,8145,1014009,8145
Management Occupations,,,Asian only,,18,7521,787148,7521
Management Occupations,,,Some other race(s),,18,5614,617572,5614
Business & Financial Operations Occupations,,,White only,,18,56769,5516613,56769
Business & Financial Operations Occupations,,,Black/African American only,,18,5133,644037,5133
Business & Financial Operations Occupations,,,Asian only,,18,5087,530713,5087
Business & Financial Operations Occupations,,,Some other race(s),,18,2712,295244,2712
Computer & Mathematical Occupations,,,White only,,18,27850,2740076,27850
Computer & Mathematical Occupations,,,Black/African American only,,18,2180,272665,2180
Computer & Mathematical Occupations,,,Asian only,,18,6477,704355,6477
Computer & Mathematical Occupations,,,Some other race(s),,18,1474,164956,1474
Architecture & Engineering Occupations,,,White only,,18,22233,2125251,22233
Architecture & Engineering Occupations,,,Black/African American only,,18,1095,135994,1095
Architecture & Engineering Occupations,,,Asian only,,18,3006,309506,3006
Architecture & Engineering Occupations,,,Some other race(s),,18,998,104075,998
"Life, Physical, & Social Science Occupations",,,White only,,18,10330,956621,10330
"Life, Physical, & Social Science Occupations",,,Black/African American only,,18,589,70441,589
"Life, Physical, & Social Science Occupations",,,Asian only,,18,1648,162450,1648
"Life, Physical, & Social Science Occupations",,,Some other race(s),,18,541,55100,541
Community & Social Services Occupations,,,White only,,18,18744,1726281,18744
Community & Social Services Occupations,,,Black/African American only,,18,3541,438461,3541
Community & Social Services Occupations,,,Asian only,,18,802,77096,802
Community & Social Services Occupations,,,Some other race(s),,18,1357,139769,1357
Legal Occupations,,,White only,,18,15365,1447485,15365
Legal Occupations,,,Black/African American only,,18,899,108950,899
Legal Occupations,,,Asian only,,18,647,67805,647
Legal Occupations,,,Some other race(s),,18,598,60884,598
"Education, Training, & Library Occupations",,,White only,,18,77860,7151563,77860
"Education, Training, & Library Occupations",,,Black/African American only,,18,7133,841680,7133
"Education, Training, & Library Occupations",,,Asian only,,18,4087,403301,4087
"Education, Training, & Library Occupations",,,Some other race(s),,18,4004,407245,4004
"Arts, Design, Entertainment, Sports, & Media Occupations",,,White only,,18,23202,2298991,23202
"Arts, Design, Entertainment, Sports, & Media Occupations",,,Black/African American only,,18,1324,171598,1324
"Arts, Design, Entertainment, Sports, & Media Occupations",,,Asian only,,18,1381,145687,1381
"Arts, Design, Entertainment, Sports, & Media Occupations",,,Some other race(s),,18,1354,156954,1354
Healthcare Practitioners & Technical Occupations,,,White only,,18,65405,6205752,65405
Healthcare Practitioners & Technical Occupations,,,Black/African American only,,18,6696,850324,6696
Healthcare Practitioners & Technical Occupations,,,Asian only,,18,7256,754533,7256
Healthcare Practitioners & Technical Occupations,,,Some other race(s),,18,2991,325326,2991
Healthcare Support Occupations,,,White only,,18,22517,2325865,22517
Healthcare Support Occupations,,,Black/African American only,,18,7079,940917,7079
Healthcare Support Occupations,,,Asian only,,18,1738,188739,1738
Healthcare Support Occupations,,,Some other race(s),,18,2615,302777,2615
Protective Service Occupations,,,White only,,18,23322,2324093,23322
Protective Service Occupations,,,Black/African American only,,18,4745,590346,4745
Protective Service Occupations,,,Asian only,,18,628,64494,628
Protective Service Occupations,,,Some other race(s),,18,1968,208304,1968
Food Preparation & Serving Related Occupations,,,White only,,18,48268,5591199,48268
Food Preparation & Serving Related Occupations,,,Black/African American only,,18,7289,1000745,7289
Food Preparation & Serving Related Occupations,,,Asian only,,18,4101,470682,4101
Food Preparation & Serving Related Occupations,,,Some other race(s),,18,7143,979571,7143
Building & Grounds Cleaning & Maintenance Occupations,,,White only,,18,36192,3891397,36192
Building & Grounds Cleaning & Maintenance Occupations,,,Black/African American only,,18,6463,802095,6463
Building & Grounds Cleaning & Maintenance Occupations,,,Asian only,,18,1461,155821,1461
Building & Grounds Cleaning & Maintenance Occupations,,,Some other race(s),,18,7017,923014,7017
Personal Care & Service Occupations,,,White only,,18,35347,3613793,35347
Personal Care & Service Occupations,,,Black/African American only,,18,6056,783113,6056
Personal Care & Service Occupations,,,Asian only,,18,3908,441327,3908
Personal Care & Service Occupations,,,Some other race(s),,18,3995,457783,3995
Sales & Related Occupations,,,White only,,18,115035,11956600,115035
Sales & Related Occupations,,,Black/African American only,,18,11326,1549208,11326
Sales & Related Occupations,,,Asian only,,18,7086,786873,7086
Sales & Related Occupations,,,Some other race(s),,18,8664,1058125,8664
Office & Administrative Support Occupations,,,White only,,18,150553,14619743,150553
Office & Administrative Support Occupations,,,Black/African American only,,18,20165,2525960,20165
Office & Administrative Support Occupations,,,Asian only,,18,7988,822948,7988
Office & Administrative Support Occupations,,,Some other race(s),,18,11674,1311412,11674
