FIPS,Dis1,LaborForce,_TYPE_,p_Est,n_Est,Base_pop,Sample,StateAB
54,0,1,7,0.013901679,9933,714518,6718,WV
54,1,0,7,0.004972196,735,147822,1411,WV
54,1,1,7,0.010970891,672,61253,589,WV
55,0,0,7,0.067514759,32273,478014,4958,WI
55,0,1,7,0.056040586,151621,2705557,26393,WI
55,1,0,7,0.065259587,12003,183927,1860,WI
55,1,1,7,0.055791854,9969,178682,1699,WI
56,0,0,7,0.08901761,4595,51619,533,WY
56,0,1,7,0.080503941,21745,270111,2527,WY
56,1,0,7,0.087100952,1547,17761,165,WY
56,1,1,7,0.072757958,1552,21331,229,WY
