FIPS,Dis1,LaborForce,raceX,_TYPE_,_FREQ_,n_Est,Base_Pop,Sample,p_est,StateAB
10,0,1,Black/African American only,15,602,89972,410080,3681,0.219401093,DE
10,0,1,Native American only,15,17,1883,410080,3681,0.004591787,DE
10,0,1,Asian only,15,150,18444,410080,3681,0.04497659,DE
10,0,1,Some other race(s),15,124,17709,410080,3681,0.043184257,DE
10,1,,White only,13,449,43996,61814,593,0.711748148,DE
10,1,,Black/African American only,13,99,11816,61814,593,0.191154108,DE
10,1,,Native American only,13,8,990,61814,593,0.016015789,DE
10,1,,Asian only,13,5,703,61814,593,0.011372828,DE
10,1,,Some other race(s),13,32,4309,61814,593,0.069709127,DE
10,1,0,White only,15,253,25212,35551,337,0.709178364,DE
10,1,0,Black/African American only,15,53,6320,35551,337,0.177772777,DE
10,1,0,Native American only,15,6,800,35551,337,0.022502883,DE
10,1,0,Asian only,15,2,325,35551,337,0.009141796,DE
10,1,0,Some other race(s),15,23,2894,35551,337,0.08140418,DE
10,1,1,White only,15,196,18784,26263,256,0.715226745,DE
10,1,1,Black/African American only,15,46,5496,26263,256,0.209267791,DE
10,1,1,Native American only,15,2,190,26263,256,0.007234512,DE
10,1,1,Asian only,15,3,378,26263,256,0.014392872,DE
10,1,1,Some other race(s),15,9,1415,26263,256,0.053878079,DE
11,,,White only,9,2249,208147,456878,4533,0.455585517,DC
11,,,Black/African American only,9,1867,199469,456878,4533,0.436591388,DC
11,,,Native American only,9,8,621,456878,4533,0.001359225,DC
